"AÑO","CÓDIGO_MUNICIPIO","MUNICIPIO","CÓDIGO_DEPARTAMENTO","DEPARTAMENTO","CÓDIGO_ETC","ETC","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","TAMAÑO_PROMEDIO_DE_GRUPO","SEDES_CONECTADAS_A_INTERNET","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"2023","27413","Lloró","27","Chocó","3789","Chocó (ETC)","3032","109,23%","109,23%","49,85%","94,31%","93,7%","32,67%","140,57%","88,52%","128,66%","182,47%","135,51%",,,"0,57%","0,34%","0,32%","0,94%","0,63%","91,36%","0%","91,32%","89,13%","93,67%","8,07%","0%","8,36%","9,94%","5,7%","7,76%","0,68%","10,4%","7,06%","1,9%"
"2023","27425","Medio Atrato","27","Chocó","3789","Chocó (ETC)","3006","62,28%","62,28%","53,33%","72,87%","34,52%","6,81%","79,54%","91,43%","101,45%","74,11%","39,43%",,,"1,38%","2,6%","1,28%","1,47%","0%","97,97%","0%","97,86%","98,53%","96,95%","0,64%","0%","0,85%","0%","3,05%","7,46%","1,04%","10,17%","5,89%","0,76%"
"2023","27430","Medio Baudó","27","Chocó","3789","Chocó (ETC)","4582","68,59%","68,59%","44,8%","70,43%","41,17%","12,36%","94,57%","69,33%","99,79%","91,04%","101,09%",,,"1,97%","3,08%","1,66%","2,38%","1,16%","94,53%","0,38%","92,16%","96,99%","98,07%","3,51%","0,38%","6,18%","0,63%","0,77%","8,09%","1,54%","11,31%","6,18%","0%"
"2023","27450","Medio San Juan","27","Chocó","3789","Chocó (ETC)","2787","82,06%","82,06%","51,93%","82,84%","58,92%","35,83%","101,9%","85,84%","107,52%","103,76%","91,38%",,,"1,47%","1%","1,05%","2,23%","1,48%","87,55%","1%","86,67%","83,4%","96,3%","10,97%","1%","12,28%","14,37%","2,22%","9,03%","1%","14,14%","5,58%","1,85%"
"2023","27491","Nóvita","27","Chocó","3789","Chocó (ETC)","2389","71,66%","71,66%","30,2%","72,21%","58,03%","19,79%","86,86%","54,46%","97,16%","91,91%","65,51%",,,"3,52%","0,91%","2,28%","5,7%","3,38%","88,35%","0%","87,64%","86,84%","91,89%","8,14%","0%","10,07%","7,46%","4,73%","14,86%","0,91%","14,64%","18,42%","10,14%"
"2023","27495","Nuquí","27","Chocó","3789","Chocó (ETC)","5003","41,04%","41,04%","21,29%","39,06%","25,24%","8,34%","51,79%","33,73%","58,78%","55,65%","34,39%",,,"2,87%","3,55%","2,75%","3,37%","0,67%","87,39%","0%","85,14%","88,07%","94%","9,74%","0%","12,12%","8,56%","5,33%","15,48%","2,13%","18,01%","16,21%","3,33%"
"2023","27580","Río Iro","27","Chocó","3789","Chocó (ETC)","1511","93,58%","93,58%","47,11%","85,6%","70,51%","40,17%","112,51%","86,78%","118,78%","123,44%","85,36%",,,"2,39%","3,81%","2,02%","2,99%","1,16%","87,3%","0,95%","82,77%","88,75%","97,11%","10,31%","0,95%","15,21%","8,26%","1,73%","9,94%","0%","12,25%","11,42%","1,16%"
"2023","27600","Río Quito","27","Chocó","3789","Chocó (ETC)","2180","91,47%","91,47%","69,49%","86,38%","72,85%","26,7%","107,8%","111,3%","114,16%","112,69%","79,26%",,,"3,09%","1,52%","1,81%","4,97%","3,88%","85,94%","0%","84,72%","82,4%","93,69%","10,97%","0%","13,47%","12,63%","2,43%","11,19%","0,51%","13,94%","12,5%","2,43%"
"2023","27615","Riosucio","27","Chocó","3789","Chocó (ETC)","13482","84,19%","84,19%","50%","90,81%","55,84%","25,94%","100,36%","96,35%","121,96%","95,16%","65,55%",,,"3,84%","2,7%","2,7%","5,98%","3,66%","88,14%","0%","89,15%","83,94%","89,85%","8,02%","0%","8,15%","10,08%","6,49%","11,38%","1,73%","14,01%","11,36%","4,3%"
"2023","27660","San José del Palmar","27","Chocó","3789","Chocó (ETC)","1333","71,72%","71,72%","55,24%","73,47%","55,63%","26,24%","80,8%","88,57%","91,88%","71,3%","68,78%",,,"5,03%","4,3%","3,73%","6,01%","10,39%","82,21%","0%","85,46%","73,1%","81,82%","12,76%","0%","10,81%","20,89%","7,79%","10,75%","3,23%","12,18%","12,97%","1,3%"
"2023","27745","Sipí","27","Chocó","3789","Chocó (ETC)","983","69,48%","69,48%","34,21%","85,75%","36,84%","15,76%","85,45%","86,84%","113,25%","69,3%","50,91%",,,"0,39%","0%","0,22%","0,5%","1,72%","90,52%","0%","86,55%","94%","98,28%","9,09%","0%","13,23%","5,5%","0%","16,49%","0%","19,73%","18%","5,17%"
"2023","27787","Tadó","27","Chocó","3789","Chocó (ETC)","4761","103,05%","103,05%","60,94%","94,64%","80,05%","52,32%","121,74%","102,6%","122,88%","124%","123,58%",,,"2,28%","1,78%","2,3%","2,73%","1,28%","88,13%","2,28%","87,79%","84,65%","94,33%","9,59%","2,28%","9,92%","12,62%","4,4%","6,69%","3,3%","9,26%","5,78%","2,13%"
"2023","27800","Unguía","27","Chocó","3789","Chocó (ETC)","3639","90,88%","90,88%","68,82%","100,27%","58,85%","26,75%","100,49%","109,68%","127,46%","86,52%","59,22%",,,"4,9%","4,9%","4,36%","5,68%","5,59%","83,86%","0,33%","85,7%","76,73%","86,18%","11,24%","0,33%","9,94%","17,6%","8,22%","13,95%","1,63%","15,13%","18,35%","3,62%"
"2023","27810","Unión Panamericana","27","Chocó","3789","Chocó (ETC)","1572","94,91%","94,91%","52,89%","97,05%","64,75%","39,93%","112,53%","104,13%","127,8%","108,16%","88,43%",,,"1,54%","0,79%","1,5%","1,93%","1,13%","88,96%","0%","88,61%","85,74%","92,66%","9,5%","0%","9,89%","12,33%","6,21%","12,65%","3,17%","15,52%","13,29%","4,52%"
